0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00
0.58	0.15	0.00	0.01	0.00
1.84	0.53	0.00	0.06	0.00
3.12	0.94	0.01	0.11	0.00
5.02	1.63	0.02	0.24	0.00
5.38	1.81	0.02	0.30	0.00
5.63	1.79	0.03	0.36	0.01
5.35	1.92	0.03	0.42	0.01
5.02	1.86	0.04	0.50	0.01
4.41	1.65	0.04	0.54	0.01
4.11	1.68	0.04	0.58	0.01
3.90	1.56	0.04	0.62	0.02
3.76	1.48	0.05	0.65	0.02
3.61	1.38	0.05	0.73	0.02
3.72	1.36	0.06	0.77	0.02
3.64	1.34	0.06	0.80	0.03
3.74	1.33	0.06	0.84	0.03
3.80	1.32	0.06	0.92	0.03
3.97	1.22	0.07	0.96	0.04
3.95	1.39	0.07	1.00	0.04
3.95	1.37	0.08	1.04	0.04
3.94	1.35	0.08	1.08	0.05
3.93	1.47	0.09	1.16	0.05
3.93	1.42	0.09	1.20	0.06
3.93	1.38	0.09	1.24	0.06
3.93	1.36	0.09	1.28	0.06
3.93	1.34	0.10	1.36	0.07
3.93	1.47	0.10	1.40	0.08
3.93	1.42	0.11	1.44	0.08
3.93	1.38	0.11	1.47	0.08
3.93	1.36	0.11	1.52	0.09
3.93	1.33	0.12	1.59	0.10
3.83	1.32	0.12	1.63	0.10
3.86	1.32	0.12	1.67	0.11
3.88	1.32	0.13	1.71	0.11
3.90	1.46	0.13	1.75	0.12
3.91	1.38	0.14	1.83	0.13
3.92	1.35	0.14	1.87	0.13
3.92	1.48	0.14	1.91	0.14
3.92	1.43	0.14	1.95	0.14
3.92	1.39	0.15	2.02	0.16
3.93	1.34	0.15	2.06	0.16
3.93	1.33	0.16	2.10	0.17
3.93	1.47	0.16	2.14	0.17
3.78	1.42	0.16	2.18	0.19
3.86	1.36	0.17	2.26	0.19
3.88	1.34	0.17	2.30	0.20
3.90	1.33	0.17	2.33	0.21
3.91	1.32	0.18	2.37	0.21
3.91	1.46	0.18	2.45	0.23
3.78	1.38	0.18	2.49	0.24
3.83	1.35	0.19	2.53	0.24
3.86	1.49	0.19	2.57	0.25
3.88	1.43	0.19	2.61	0.27
3.91	1.36	0.20	2.69	0.27
3.91	1.34	0.20	2.73	0.28
3.92	1.33	0.20	2.76	0.29
3.92	1.47	0.21	2.80	0.30
3.92	1.42	0.21	2.88	0.31
3.93	1.36	0.22	2.92	0.32
3.93	1.49	0.22	2.96	0.33
3.78	1.43	0.22	3.00	0.34
3.83	1.39	0.22	3.04	0.35
3.88	1.34	0.23	3.11	0.37
3.90	1.33	0.23	3.15	0.38
3.91	1.47	0.24	3.19	0.38
3.91	1.42	0.24	3.23	0.39
3.92	1.38	0.24	3.30	0.41
3.83	1.49	0.25	3.34	0.42
3.86	1.43	0.25	3.38	0.43
3.88	1.39	0.25	3.42	0.44
3.90	1.36	0.26	3.46	0.45
3.91	1.33	0.26	3.53	0.47
3.92	1.47	0.26	3.57	0.48
3.78	1.42	0.27	3.61	0.49
3.83	1.38	0.27	3.65	0.51
3.86	1.50	0.27	3.72	0.53
3.90	1.39	0.28	3.77	0.54
3.91	1.37	0.28	3.80	0.55
3.91	1.35	0.28	3.84	0.56
3.92	1.33	0.29	3.88	0.57
3.92	1.42	0.29	3.95	0.59
3.78	1.38	0.30	3.99	0.61
3.83	1.36	0.30	4.03	0.62
3.86	1.49	0.30	4.07	0.63
3.88	1.43	0.30	4.14	0.65
3.91	1.36	0.31	4.18	0.66
3.77	1.49	0.31	4.22	0.68
3.82	1.43	0.32	4.26	0.69
3.86	1.39	0.32	4.29	0.70
3.90	1.34	0.32	4.36	0.73
3.91	1.48	0.33	4.40	0.74
3.91	1.42	0.33	4.44	0.75
3.92	1.38	0.33	4.48	0.76
3.78	1.36	0.34	4.55	0.79
3.86	1.43	0.34	4.59	0.80
3.88	1.39	0.34	4.63	0.82
3.90	1.36	0.35	4.66	0.83
3.91	1.49	0.35	4.70	0.84
3.91	1.39	0.36	4.78	0.87
3.82	1.36	0.36	4.81	0.89
3.86	1.49	0.36	4.85	0.90
3.88	1.43	0.36	4.89	0.91
3.90	1.39	0.37	4.96	0.94
3.91	1.49	0.37	5.00	0.96
3.77	1.43	0.38	5.04	0.97
3.82	1.39	0.38	5.07	0.99
3.86	1.36	0.38	5.11	1.00
3.88	1.43	0.39	5.18	1.03
3.91	1.39	0.39	5.22	1.05
3.91	1.36	0.39	5.26	1.06
3.77	1.49	0.40	5.29	1.08
3.82	1.43	0.40	5.33	1.11
3.88	1.36	0.40	5.40	1.12
3.90	1.49	0.41	5.44	1.14
3.91	1.43	0.41	5.47	1.15
3.91	1.39	0.41	5.51	1.17
3.77	1.34	0.42	5.58	1.20
